client_id,client_type,gender,age,age_group,country,region,acquisition_purpose,loan_applied,satisfaction_score,referral_channel,kmeans_cluster,cluster_label
C0001,Individual,F,58.1,50-60,Usa,California,Home,Yes,4,Website,1,First-Time / Loan Buyers
C0002,Individual,M,63.6,60-70,Usa,California,Home,No,1,Website,2,Corporate Buyers
C0003,Individual,M,67.2,60-70,Usa,California,Home,Yes,4,Agency,1,First-Time / Loan Buyers
C0004,Individual,M,66.6,60-70,Usa,California,Home,No,5,Website,2,Corporate Buyers
C0005,Company,M,50.3,50-60,Usa,California,Investment,No,5,Website,3,Luxury / High-Satisfaction
C0006,Individual,M,69.3,60-70,Usa,California,Home,Yes,3,Website,1,First-Time / Loan Buyers
C0007,Individual,M,79.1,70+,Canada,Quebec,Investment,No,5,Website,0,Global Investors
C0008,Individual,F,56.7,50-60,Usa,California,Home,No,5,Website,2,Corporate Buyers
C0009,Individual,M,50.7,50-60,Usa,California,Investment,No,5,Agency,2,Corporate Buyers
C0010,Individual,M,60.0,50-60,Usa,Oregon,Investment,No,3,Agency,2,Corporate Buyers
C0011,Individual,F,70.0,60-70,Usa,California,Home,Yes,2,Website,1,First-Time / Loan Buyers
C0012,Company,M,51.2,50-60,Usa,California,Investment,No,5,Website,3,Luxury / High-Satisfaction
C0013,Individual,M,63.9,60-70,Usa,California,Home,Yes,1,Website,1,First-Time / Loan Buyers
C0014,Company,M,45.9,40-50,Usa,California,Home,Yes,3,Website,3,Luxury / High-Satisfaction
C0015,Individual,F,84.8,70+,Usa,California,Home,No,5,Client,2,Corporate Buyers
C0016,Individual,F,86.8,70+,Usa,California,Investment,No,5,Website,2,Corporate Buyers
C0017,Individual,M,49.4,40-50,Usa,Arizona,Home,No,3,Client,2,Corporate Buyers
C0018,Individual,M,59.4,50-60,Usa,California,Home,Yes,2,Agency,1,First-Time / Loan Buyers
C0019,Individual,M,68.8,60-70,Usa,California,Home,Yes,5,Client,1,First-Time / Loan Buyers
C0020,Individual,F,58.7,50-60,Usa,California,Home,No,5,Website,2,Corporate Buyers
C0021,Individual,M,88.0,70+,Usa,Oregon,Investment,No,3,Website,2,Corporate Buyers
C0022,Individual,M,59.8,50-60,Germany,Berlin,Investment,No,5,Agency,0,Global Investors
C0023,Individual,M,67.5,60-70,Usa,California,Home,Yes,3,Website,1,First-Time / Loan Buyers
C0024,Individual,M,62.6,60-70,Usa,California,Investment,No,4,Website,2,Corporate Buyers
C0025,Individual,M,89.4,70+,Usa,Nevada,Home,Yes,2,Website,1,First-Time / Loan Buyers
C0026,Individual,M,63.7,60-70,Usa,California,Investment,No,5,Website,2,Corporate Buyers
C0027,Individual,M,57.8,50-60,Usa,California,Home,Yes,5,Website,1,First-Time / Loan Buyers
C0028,Individual,F,68.2,60-70,Usa,California,Home,No,3,Client,2,Corporate Buyers
C0029,Individual,F,50.3,50-60,Usa,Colorado,Home,Yes,4,Agency,1,First-Time / Loan Buyers
C0030,Individual,F,74.0,70+,Usa,Nevada,Home,No,3,Website,2,Corporate Buyers
C0031,Individual,M,48.5,40-50,Usa,Nevada,Home,Yes,4,Website,1,First-Time / Loan Buyers
C0032,Individual,M,59.9,50-60,Usa,California,Home,No,4,Website,2,Corporate Buyers
C0033,Individual,F,57.8,50-60,Usa,California,Home,Yes,3,Website,1,First-Time / Loan Buyers
C0034,Individual,F,56.6,50-60,Belgium,Brussels,Home,No,2,Agency,0,Global Investors
C0035,Individual,M,61.1,60-70,Mexico,Mexico City,Home,No,3,Agency,2,Corporate Buyers
C0036,Individual,M,52.8,50-60,Usa,California,Home,No,4,Website,2,Corporate Buyers
C0037,Individual,F,64.4,60-70,Usa,California,Home,Yes,5,Website,1,First-Time / Loan Buyers
C0038,Individual,F,51.5,50-60,Usa,California,Investment,No,4,Client,2,Corporate Buyers
C0039,Individual,F,59.0,50-60,Russia,Krasnodar Krai,Home,No,1,Agency,2,Corporate Buyers
C0040,Individual,M,51.2,50-60,Usa,Nevada,Home,No,5,Website,2,Corporate Buyers
C0041,Individual,M,59.2,50-60,Usa,Arizona,Home,Yes,1,Website,1,First-Time / Loan Buyers
C0042,Individual,F,50.9,50-60,Usa,Utah,Home,Yes,1,Website,1,First-Time / Loan Buyers
C0043,Individual,M,61.2,60-70,Usa,Nevada,Investment,Yes,3,Website,1,First-Time / Loan Buyers
C0044,Individual,F,95.3,70+,Usa,Arizona,Home,No,3,Website,2,Corporate Buyers
C0045,Individual,M,57.7,50-60,Usa,Colorado,Investment,No,2,Agency,2,Corporate Buyers
C0046,Individual,F,61.7,60-70,Usa,California,Home,No,5,Client,2,Corporate Buyers
C0047,Individual,M,55.9,50-60,Usa,Colorado,Home,No,2,Agency,2,Corporate Buyers
C0048,Individual,M,69.2,60-70,Usa,California,Home,Yes,3,Agency,1,First-Time / Loan Buyers
C0049,Individual,F,54.8,50-60,Usa,California,Home,No,1,Website,2,Corporate Buyers
C0050,Individual,M,86.3,70+,Usa,California,Home,No,5,Website,2,Corporate Buyers
C0051,Individual,F,85.3,70+,Usa,Colorado,Home,No,3,Agency,2,Corporate Buyers
C0052,Individual,F,59.4,50-60,Usa,Oregon,Investment,No,2,Client,2,Corporate Buyers
C0053,Individual,M,72.4,70+,Usa,Arizona,Home,No,4,Agency,2,Corporate Buyers
C0054,Company,M,59.3,50-60,Usa,Nevada,Investment,No,5,Website,3,Luxury / High-Satisfaction
C0055,Individual,F,53.0,50-60,Usa,California,Home,Yes,5,Agency,1,First-Time / Loan Buyers
C0056,Individual,M,61.5,60-70,Usa,Oregon,Investment,No,5,Agency,2,Corporate Buyers
C0057,Individual,M,93.0,70+,Usa,California,Home,Yes,4,Agency,1,First-Time / Loan Buyers
C0058,Company,F,57.1,50-60,Usa,California,Investment,Yes,1,Website,3,Luxury / High-Satisfaction
C0059,Individual,M,66.0,60-70,Usa,California,Home,No,2,Website,2,Corporate Buyers
C0060,Individual,F,54.1,50-60,Usa,California,Home,No,5,Website,2,Corporate Buyers
C0061,Individual,M,59.1,50-60,Usa,Utah,Home,No,5,Agency,2,Corporate Buyers
C0062,Individual,M,52.2,50-60,Usa,California,Home,Yes,5,Client,1,First-Time / Loan Buyers
C0063,Individual,F,83.9,70+,Usa,Arizona,Home,No,4,Website,2,Corporate Buyers
C0064,Individual,M,52.4,50-60,Uk,Northern Ireland,Investment,No,4,Agency,2,Corporate Buyers
C0065,Individual,M,54.2,50-60,Usa,California,Home,No,1,Agency,2,Corporate Buyers
C0066,Individual,F,51.5,50-60,Usa,California,Investment,No,3,Client,2,Corporate Buyers
C0067,Individual,M,49.0,40-50,Usa,California,Home,No,2,Website,2,Corporate Buyers
C0068,Individual,F,60.3,60-70,Usa,Colorado,Home,Yes,5,Agency,1,First-Time / Loan Buyers
C0069,Individual,M,56.2,50-60,Usa,California,Investment,No,4,Website,2,Corporate Buyers
C0070,Individual,F,79.1,70+,Usa,Arizona,Home,Yes,4,Website,1,First-Time / Loan Buyers
C0071,Individual,M,40.5,40-50,Usa,California,Home,Yes,1,Client,1,First-Time / Loan Buyers
C0072,Individual,M,73.4,70+,Usa,Nevada,Investment,No,2,Website,2,Corporate Buyers
C0073,Individual,F,61.4,60-70,Denmark,Capital Region,Investment,No,1,Agency,0,Global Investors
C0074,Individual,F,67.5,60-70,Usa,Oregon,Investment,No,5,Client,2,Corporate Buyers
C0075,Individual,F,56.1,50-60,Usa,California,Home,No,3,Website,2,Corporate Buyers
C0076,Individual,M,70.3,70+,Usa,California,Home,No,5,Agency,2,Corporate Buyers
C0077,Individual,M,45.8,40-50,Usa,California,Home,No,5,Website,2,Corporate Buyers
C0078,Individual,F,78.2,70+,Usa,California,Home,No,5,Website,2,Corporate Buyers
C0079,Individual,M,72.3,70+,Belgium,Brussels,Investment,No,4,Website,0,Global Investors
C0080,Individual,F,77.4,70+,Usa,California,Investment,No,3,Website,2,Corporate Buyers
C0081,Individual,F,82.9,70+,Usa,California,Home,Yes,4,Website,1,First-Time / Loan Buyers
C0082,Individual,F,44.5,40-50,Usa,Virginia,Investment,No,5,Client,2,Corporate Buyers
C0083,Individual,M,87.6,70+,Usa,California,Home,No,5,Website,2,Corporate Buyers
C0084,Individual,M,78.3,70+,Usa,Wyoming,Home,No,3,Agency,2,Corporate Buyers
C0085,Individual,M,59.8,50-60,Usa,California,Home,Yes,4,Agency,1,First-Time / Loan Buyers
C0086,Individual,F,57.5,50-60,Usa,California,Home,Yes,3,Website,1,First-Time / Loan Buyers
